Component,References,Value,Footprint,Quantity Per PCB,Datasheet,Note,Description,Size
14,J17,U.FL-R-SMT-1(10),U-FL-R-SMT,1,http://suddendocs.samtec.com/catalog_english/sma.pdf,Hirose U.FL R,CONN SMA JACK R/A 50 OHM PCB,
15,L5,ADL3225V-470MT-TL000,L_1210_3225Metric_L,1,https://product.tdk.com/info/en/catalog/datasheets/inductor_automotive_decoupling_adl3225v_en.pdf,47uH,FIXED IND 47UH 500MA 900 MOHM,1210
16,L4 L6 L7,BLM15HD102SN1D,L_0402_1005Metric,3,~,1000ohm,"Inductor, small symbol",
17,L2 L3,BLM18PG471SN1D,L_0603_1608Metric_L,2,https://www.murata.com/en-us/products/productdata/8796738650142/ENFA0003.pdf,470 Ohms @ 100MHz,FERRITE BEAD 470 OHM 0603 1LN,603
18,L1,MBKK1608T3R3M,L_0603_1608Metric_L,1,http://search.murata.co.jp/Ceramy/image/img/P02/JELF243B-0047.pdf,3.3uH,FIXED IND 3.3UH 1.05A 250 MOHM,603
19,Q1,MMBT3904LP-7B,TRXDFN3_101X61X53L25X15N,1,https://www.diodes.com/assets/Datasheets/ds31835.pdf,Trans NPN,TRANS NPN 40V 0.2A DFN1006-3,3-UFDFN
20,R5,ERJ-1GNF1001C,R_0201_0603Metric_ERJ_L,1,~,1K,"Resistor, small US symbol",201
21,R2 R3 R10 R12 R15 R16,ERJ-1GNF1002C,R_0201_0603Metric_ERJ_L,6,"https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERJ-G,R,E_Series_Rev_Oct_2014.pdf",10K,RES SMD 10K OHM 1% 1/20W 0201,201
22,R11,ERJ-1GNF1003C,R_0201_0603Metric_ERJ_L,1,~,100K,Resistor,201
23,R1,ERJ-1GNF1022C,R_0201_0603Metric_ERJ_L,1,"https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERJ-G,R,E_Series_Rev_Oct_2014.pdf",10.2K,RES SMD 10.2K OHM 1% 1/20W 0201,201
24,R4 R8,ERJ-1GNF1801C,R_0201_0603Metric_ERJ_L,2,~,1.8K,"Resistor, small US symbol",201
25,R7,ERJ-1GNF4752C,R_0201_0603Metric_ERJ_L,1,~,47.7K 1%,"Resistor, small US symbol",201
26,R9,ERJ-1GNF49R9C,R_0201_0603Metric_ERJ_L,1,~,49.9,Resistor,201
27,U1,ATmega328-MU,QFN_33_P50_500X500X80L40X24T310L,1,http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf,,IC MCU 8BIT 32KB FLASH 32VQFN,
28,U10,BNO055,LGA-28_5.2x3.8mm_P0.5mm,1,LGA-28 Bosch,,,
29,U9,DS90UB913ATRTVTQ1,QFN_33_P50_500X500X80L40X24T310L,1,http://www.ti.com/lit/ds/symlink/ds90ub933-q1.pdf,Serializer 913A,IC SERIALIZER FPD-LINK 32WQFN,
30,U5,LMV321IDCKR,SOT_23-5P65_210X110L36X22L,1,http://www.ti.com/lit/ds/symlink/lmv324.pdf,Opamp,"Low-Voltage Rail-to-Rail Output Operational Amplifiers, SOT-23-5/SC-70-5",
31,U2,LTC3218,SON_11_P50_300X200X80L40X25T239X64L,1,http://www.linear.com/docs/19518,,IC LED DRIVER RGLTR 150MA 10DFN,
32,U4,MAX14574EWL+,BGA_15_NP50_3X5_155X255X69B31N,1,,,"4-Channel, High-Voltage, Liquid Lens Driver",
33,U6,NOIP1SP0480A,BGA88CP50_8X11_493X613X75B25,1,https://www.onsemi.com/pub/Collateral/NOIP1SN0480A-D.PDF,,,
34,U11,PCA9509AGM,XQFN8,1,https://www.nxp.com/docs/en/data-sheet/PCA9509A.pdf,I2C Buffer,IC REDRIVER I2C 2CH 400KHZ 8XQFN,
35,U7,SG-210STF 66.6667ML3,OSC_CC250X200X80L70X75L,1,https://www.sitime.com/datasheet/SiT8008,~66.7MHz Osc,MEMS OSC XO,2.5mmx2mm
36,U8,TLV7103318DSER,SON_6_P50_150X150X80L50X25L,1,http://www.ti.com/lit/ds/symlink/tlv711.pdf,,"Dual, 200mA, Low-Iq, Low-Dropout Regulator, Fixed Output 3.3V and 1.8V, SON-6",
37,U3,TPL0102-100RUCR,QFN_14_P40_200X200X40L40X20L,1,http://www.ti.com/lit/ds/symlink/tpl0102-100.pdf ,2 ch digital pot,IC DGTL POT 256POS 100K DL 14QFN,14-XFQFN
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Component Groups:,42,,,,,,,
Component Count:,102,,,,,,,
Fitted Components:,90,,,,,,,
Number of PCBs:,1,,,,,,,
Total components:,90,,,,,,,
Schematic Version:,,,,,,,,
Schematic Date:,,,,,,,,
PCB Variant:,[u'default'],,,,,,,
BoM Date:,1/13/2020 9:10,,,,,,,
Schematic Source:,C:\Users\DBAharoni\Documents\Projects\Miniscope-v4\Miniscope-v4-Rigid-Flex\KiCad\Miniscope-v4-Rigid-Flex.sch,,,,,,,
KiCad Version:,Eeschema (5.1.0)-1,,,,,,,
