Component,References,Value,Footprint,Quantity Per PCB,Datasheet,Note,Description,Part,Size,Comment
31,U4,MAX14574EWL+,BGA_15_NP50_3X5_155X255X69B31N,1,,,"4-Channel, High-Voltage, Liquid Lens Driver",MAX14574EWL+,,
32,U10,NCP163AMX330TBG,UQFN_MCP1711,1,http://ww1.microchip.com/downloads/en/DeviceDoc/20005415D.pdf,,"Tiny LDO Regulator, 1mm x 1mm, 150mA",NCP163AMX330TBG,,
33,U6,NOIP1SP0480A,BGA88CP50_8X11_493X613X75B25,1,https://www.onsemi.com/pub/Collateral/NOIP1SN0480A-D.PDF,,PYTHON 0.48 Megapixel,NOIP1SN0480A,,
34,U11,PCA9509AGM,XQFN8,1,https://www.nxp.com/docs/en/data-sheet/PCA9509A.pdf,I2C Buffer,IC REDRIVER I2C 2CH 400KHZ 8XQFN,PCA9509AGM,,
35,U7,SG-210STF 66.6667ML3,OSC_CC250X200X80L70X75L,1,https://www.sitime.com/datasheet/SiT8008,~66.7MHz Osc,MEMS OSC XO,SiT_2.5mmx2mm,2.5mmx2mm,
36,U8,TLV7103318DSER,SON_6_P50_150X150X80L50X25L,1,http://www.ti.com/lit/ds/symlink/tlv711.pdf,,"Dual, 200mA, Low-Iq, Low-Dropout Regulator, Fixed Output 3.3V and 1.8V, SON-6",TLV7103318DSER,,
37,U3,TPL0102-100RUCR,QFN_14_P40_200X200X40L40X20L,1,http://www.ti.com/lit/ds/symlink/tpl0102-100.pdf,2 ch digital pot,IC DGTL POT 256POS 100K DL 14QFN,TPL0102-100RUCR,14-XFQFN,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Component Groups:,43,,,,,,,,,
Component Count:,108,,,,,,,,,
Fitted Components:,92,,,,,,,,,
Number of PCBs:,1,,,,,,,,,
Total components:,92,,,,,,,,,
Schematic Version:,4.4,,,,,,,,,
Schematic Date:,6/25/2020,,,,,,,,,
PCB Variant:,[u'default'],,,,,,,,,
BoM Date:,11/17/2020 19:46,,,,,,,,,
Schematic Source:,Miniscope-v4-Rigid-Flex.sch,,,,,,,,,
KiCad Version:,Eeschema (5.1.6)-1,,,,,,,,,
