#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,,,,,,,,,,,,
stack,69,1,34,92.98,39.17,0.0,0603,0.1uF 100V 0603,2.5,50,1.7,50,No,-40,1,40,1,25,92.86,138.72,1,1,No,No,-40,-40,-40,-40
stack,70,1,34,76.24,40.15,90.0,0603,LED LUXEON Z BLUE,2.5,50,1.7,50,No,-40,1,40,1,19,75.93,116.05,1,1,No,No,-40,-40,-40,-40
pcb,Manual,Lock,100,100,350,200,Back,10,10,200,,,,,,,,,,,,,,,,,,
mark,Whole,Auto,,,,,,,,,,,,,,,,,,,,,,,,,,
test,no,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirror_create,1,1,344.75,88.61,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
mirror,344.75,88.61,0,No,,,,,,,,,,,,,,,,,,,,,,,,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip,,,,,,,,,,,,,,,,,,,
comp,1,1,C1,GRM155R71A104JA01D,C_0402_1005Metric_L,299.27,68.32,90.04,No,,,,,,,,,,,,,,,,,,,
comp,25,3,C2,GRM155R60J475ME87D,C_0402_1005Metric_L,299.26,64.79,270.04,No,,,,,,,,,,,,,,,,,,,
comp,69,4,C3,0.1uF 100V,C_0603_1608Metric_L,291.09,81.84,90.04,No,,,,,,,,,,,,,,,,,,,
comp,3,1,C4,GRM155R60J106ME15D,C_0402_1005Metric_L,307.94,54.98,90.04,No,,,,,,,,,,,,,,,,,,,
comp,3,3,C5,GRM155R60J106ME15D,C_0402_1005Metric_L,308.91,54.98,90.04,No,,,,,,,,,,,,,,,,,,,
comp,3,1,C6,GRM155R60J106ME15D,C_0402_1005Metric_L,316.31,66.48,270.04,No,,,,,,,,,,,,,,,,,,,
comp,24,2,C6,GRM033R61A105ME15D,C_0201_0603Metric_L,305.28,55.57,270.04,No,,,,,,,,,,,,,,,,,,,
comp,24,2,C7,GRM033R61A105ME15D,C_0201_0603Metric_L,305.28,54.45,90.04,No,,,,,,,,,,,,,,,,,,,
comp,24,2,C8,GRM033R61A105ME15D,C_0201_0603Metric_L,306.74,56.33,180.04,No,,,,,,,,,,,,,,,,,,,
comp,3,1,C10,10uF,C_0402_1005Metric_L,316.31,63.02,270.04,No,,,,,,,,,,,,,,,,,,,
comp,1,1,C10,GRM033R61C473KE84D,C_0201_0603Metric_L,311.97,50.99,270.04,Yes,,,,,,,,,,,,,,,,,,,
comp,24,2,C11,GRM033R61A105ME15D,C_0201_0603Metric_L,314.45,49.67,270.04,No,,,,,,,,,,,,,,,,,,,
comp,3,1,C14,GRM155R60J106ME15D,C_0402_1005Metric_L,316.31,64.75,90.04,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C15,GRM033R61A104ME15D,C_0201_0603Metric_L,316.44,69.01,90.04,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C18,GRM033R61A104ME15D,C_0201_0603Metric_L,316.46,67.85,90.04,No,,,,,,,,,,,,,,,,,,,
comp,25,1,C18,4.7uF,C_0402_1005Metric_L,312.72,51.3,90.04,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C19,GRM033R61A104ME15D,C_0201_0603Metric_L,312.58,53.42,270.04,No,,,,,,,,,,,,,,,,,,,
comp,27,2,C20,GRM033R71A103KA01D,C_0201_0603Metric_L,311.98,53.43,270.04,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C21,GRM033R61A104ME15D,C_0201_0603Metric_L,310.81,53.32,180.04,No,,,,,,,,,,,,,,,,,,,
comp,27,2,C22,GRM033R71A103KA01D,C_0201_0603Metric_L,310.81,53.94,180.04,No,,,,,,,,,,,,,,,,,,,
comp,25,1,C23,4.7uF,C_0402_1005Metric_L,314.06,50.66,180.04,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C24,GRM033R61A104ME15D,C_0201_0603Metric_L,313.78,52.06,180.04,No,,,,,,,,,,,,,,,,,,,
comp,27,2,C25,GRM033R71A103KA01D,C_0201_0603Metric_L,313.78,51.45,180.04,No,,,,,,,,,,,,,,,,,,,
comp,3,1,C26,10uF,C_0402_1005Metric_L,310.42,49.93,0.04,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C27,GRM033R61A104ME15D,C_0201_0603Metric_L,310.12,51.25,0.04,No,,,,,,,,,,,,,,,,,,,
comp,27,2,C28,GRM033R71A103KA01D,C_0201_0603Metric_L,310.12,50.64,0.04,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C29,GRM033R61A104ME15D,C_0201_0603Metric_L,313.05,54.54,90.04,No,,,,,,,,,,,,,,,,,,,
comp,27,2,C30,GRM033R71A103KA01D,C_0201_0603Metric_L,312.44,54.55,90.04,No,,,,,,,,,,,,,,,,,,,
comp,32,3,D1,BAS316,SOD_323_250X125X110L30X32L,291.6,83.82,180.04,No,,,,,,,,,,,,,,,,,,,
comp,70,4,D2,LXZ1-PB01,LED_LXZ1_PR01_L,297.18,82.38,90.04,No,,,,,,,,,,,,,,,,,,,
comp,1,1,L1,ADL3225V-470MT-TL000,L_1210_3225Metric_L,306.09,51.68,90.04,Yes,,,,,,,,,,,,,,,,,,,
comp,31,3,L1,LQM18PN3R3MGHD,L_0603_1608Metric_L,292.34,81.84,90.04,No,,,,,,,,,,,,,,,,,,,
comp,34,1,L2,BLM15HD102SN1D,L_0402_1005Metric,306.35,49.09,0.04,No,,,,,,,,,,,,,,,,,,,
comp,34,3,L4,BLM15HD102SN1D,L_0402_1005Metric,313.81,53.33,90.04,No,,,,,,,,,,,,,,,,,,,
comp,34,1,L5,BLM15HD102SN1D,L_0402_1005Metric,311.19,51.92,90.04,No,,,,,,,,,,,,,,,,,,,
comp,1,1,R1,1.8K,R_0201_0603Metric_ERJ_L,307.85,51.27,270.04,Yes,,,,,,,,,,,,,,,,,,,
comp,1,1,R2,49.9,R_0201_0603Metric_ERJ_L,311.98,52.17,270.04,Yes,,,,,,,,,,,,,,,,,,,
comp,29,2,R3,10.2K,R_0201_0603Metric_ERJ_L,315.07,49.67,90.04,No,,,,,,,,,,,,,,,,,,,
comp,29,2,R4,10.2K,R_0201_0603Metric_ERJ_L,313.37,49.25,180.04,No,,,,,,,,,,,,,,,,,,,
comp,35,2,R5,ERJ-1GEF3321C,R_0201_0603Metric_ERJ_L,315.64,52.69,0.04,No,,,,,,,,,,,,,,,,,,,
comp,35,2,R6,ERJ-1GEF3321C,R_0201_0603Metric_ERJ_L,315.65,52.01,0.04,No,,,,,,,,,,,,,,,,,,,
comp,1,1,R7,100K,R_0201_0603Metric_ERJ_L,315.48,50.53,180.04,Yes,,,,,,,,,,,,,,,,,,,
comp,1,1,U1,NA,QFN_33_P50_500X500X80L40X24T310L,295.17,66.15,90.04,Yes,,,,,,,,,,,,,,,,,,,
comp,1,1,U2,NOIP1SN0480A,BGA88CP50_8X11_493X613X75B25,311.72,65.61,0.04,Yes,,,,,,,,,,,,,,,,,,,
comp,67,3,U3,TLV7103318DSER,SON_6_P50_150X150X80L50X25L,306.47,54.99,180.04,No,,,,,,,,,,,,,,,,,,,
comp,1,1,C1,GRM155R71A104JA01D,C_0402_1005Metric_L,299.34,113.3,90.04,No,,,,,,,,,,,,,,,,,,,
comp,25,3,C2,GRM155R60J475ME87D,C_0402_1005Metric_L,299.33,109.76,270.04,No,,,,,,,,,,,,,,,,,,,
comp,69,4,C3,0.1uF 100V,C_0603_1608Metric_L,291.17,126.82,90.04,No,,,,,,,,,,,,,,,,,,,
comp,3,1,C4,GRM155R60J106ME15D,C_0402_1005Metric_L,308.02,99.95,90.04,No,,,,,,,,,,,,,,,,,,,
comp,3,3,C5,GRM155R60J106ME15D,C_0402_1005Metric_L,308.98,99.95,90.04,No,,,,,,,,,,,,,,,,,,,
comp,3,1,C6,GRM155R60J106ME15D,C_0402_1005Metric_L,316.38,111.45,270.04,No,,,,,,,,,,,,,,,,,,,
comp,24,2,C6,GRM033R61A105ME15D,C_0201_0603Metric_L,305.35,100.55,270.04,No,,,,,,,,,,,,,,,,,,,
comp,24,2,C7,GRM033R61A105ME15D,C_0201_0603Metric_L,305.35,99.42,90.04,No,,,,,,,,,,,,,,,,,,,
comp,24,2,C8,GRM033R61A105ME15D,C_0201_0603Metric_L,306.81,101.3,180.04,No,,,,,,,,,,,,,,,,,,,
comp,3,1,C10,10uF,C_0402_1005Metric_L,316.38,108.0,270.04,No,,,,,,,,,,,,,,,,,,,
