#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,,,,,,,,,,,,
comp,26,2,C8,GRM033R61A104ME15D,C_0201_0603Metric_L,294.0,70.63,270.35,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C9,GRM033R61A104ME15D,C_0201_0603Metric_L,294.63,55.69,180.35,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C9,GRM033R61A104ME15D,C_0201_0603Metric_L,291.09,70.35,180.35,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C11,GRM033R61A104ME15D,C_0201_0603Metric_L,295.0,73.87,180.35,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C12,GRM033R61A104ME15D,C_0201_0603Metric_L,296.23,70.39,0.35,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C13,GRM033R61A104ME15D,C_0201_0603Metric_L,292.22,70.34,0.35,No,,,,,,,,,,,,,,,,,,,
comp,26,2,C16,GRM033R61A104ME15D,C_0201_0603Metric_L,292.23,75.07,90.35,No,,,,,,,,,,,,,,,,,,,
comp,1,1,C17,GRM188R61E475KE11D,C_0603_1608Metric_L,296.39,75.17,0.35,Yes,,,,,,,,,,,,,,,,,,,
comp,26,2,C19,GRM033R61A104ME15D,C_0201_0603Metric_L,293.98,73.66,270.35,No,,,,,,,,,,,,,,,,,,,
comp,1,1,D1,LED_Small_ALT,LED_0402_1005Metric,293.97,76.38,180.35,Yes,,,,,,,,,,,,,,,,,,,
comp,1,1,G***,LOGO,Miniscope_Logo2,299.21,90.1,0.35,Yes,,,,,,,,,,,,,,,,,,,
comp,1,1,J1,Conn_01x01,Conn_1x1_250x750_Pad,315.4,90.89,90.35,Yes,,,,,,,,,,,,,,,,,,,
comp,1,1,J1,Conn_01x14,B2B_Flex_14_Dual_Row_38milx24mil_Pad_20mil,306.69,76.52,270.35,Yes,,,,,,,,,,,,,,,,,,,
comp,1,1,J1,Conn_01x20,B2B_Flex_20_Dual_Row_38milx24mil_Pad_20mil,298.53,68.5,180.35,Yes,,,,,,,,,,,,,,,,,,,
comp,1,1,J2,Conn_01x01,Conn_1x1_700_Circular_Pad,312.47,74.04,270.35,Yes,,,,,,,,,,,,,,,,,,,
